superkingdom	assembly_level	genome_size
viral	Complete Genome	0.000827789
viral	Complete Genome	0.000840187
viral	Complete Genome	0.000859261
viral	Complete Genome	0.000863075
viral	Complete Genome	0.000865936
viral	Complete Genome	0.000871658
viral	Complete Genome	0.000881195
viral	Complete Genome	0.00090313
viral	Complete Genome	0.000907898
viral	Complete Genome	0.000930786
viral	Complete Genome	0.000933647
viral	Complete Genome	0.000950813
viral	Complete Genome	0.00096035
viral	Complete Genome	0.000992775
viral	Complete Genome	0.000999451
viral	Complete Genome	0.001028061
viral	Complete Genome	0.001029015
viral	Complete Genome	0.001030922
viral	Complete Genome	0.001040459
viral	Complete Genome	0.001045227
viral	Complete Genome	0.001045227
viral	Complete Genome	0.001052856
viral	Complete Genome	0.001057625
viral	Complete Genome	0.001058578
viral	Complete Genome	0.001058578
viral	Complete Genome	0.001058578
viral	Complete Genome	0.001058578
viral	Complete Genome	0.001059532
viral	Complete Genome	0.001060486
viral	Complete Genome	0.001060486
viral	Complete Genome	0.001060486
viral	Complete Genome	0.001060486
viral	Complete Genome	0.001063347
viral	Complete Genome	0.001064301
viral	Complete Genome	0.001064301
viral	Complete Genome	0.001064301
viral	Complete Genome	0.001066208
viral	Complete Genome	0.001067162
viral	Complete Genome	0.001070023
viral	Complete Genome	0.001070023
viral	Complete Genome	0.001070976
viral	Complete Genome	0.001072884
viral	Complete Genome	0.001073837
viral	Complete Genome	0.001076698
viral	Complete Genome	0.001079559
viral	Complete Genome	0.001081467
viral	Complete Genome	0.001084328
viral	Complete Genome	0.001084328
viral	Complete Genome	0.001085281
viral	Complete Genome	0.001088142
viral	Complete Genome	0.001088142
viral	Complete Genome	0.001089096
viral	Complete Genome	0.001089096
viral	Complete Genome	0.00109005
viral	Complete Genome	0.001099586
viral	Complete Genome	0.001106262
viral	Complete Genome	0.001109123
viral	Complete Genome	0.001111031
viral	Complete Genome	0.001131058
viral	Complete Genome	0.001133919
viral	Complete Genome	0.001137733
viral	Complete Genome	0.001140594
viral	Complete Genome	0.001145363
viral	Complete Genome	0.001145363
viral	Complete Genome	0.001157761
viral	Complete Genome	0.001158714
viral	Complete Genome	0.00116539
viral	Complete Genome	0.001170158
viral	Complete Genome	0.001170158
viral	Complete Genome	0.001174927
viral	Complete Genome	0.00117588
viral	Complete Genome	0.001177788
viral	Complete Genome	0.001178741
viral	Complete Genome	0.001179695
viral	Complete Genome	0.001182556
viral	Complete Genome	0.001186371
viral	Complete Genome	0.001190186
viral	Complete Genome	0.001192093
viral	Complete Genome	0.001194954
viral	Complete Genome	0.001196861
viral	Complete Genome	0.001197815
viral	Complete Genome	0.001204491
viral	Complete Genome	0.001208305
viral	Complete Genome	0.00122261
viral	Complete Genome	0.001227379
viral	Complete Genome	0.001231194
viral	Complete Genome	0.001235008
viral	Complete Genome	0.001235962
viral	Complete Genome	0.00124073
viral	Complete Genome	0.00124073
viral	Complete Genome	0.001241684
viral	Complete Genome	0.001242638
viral	Complete Genome	0.001253128
viral	Complete Genome	0.001259804
viral	Complete Genome	0.001261711
viral	Complete Genome	0.001267433
viral	Complete Genome	0.001273155
viral	Complete Genome	0.001276016
viral	Complete Genome	0.00127697
viral	Complete Genome	0.001281738
viral	Complete Genome	0.001283646
viral	Complete Genome	0.001285553
viral	Complete Genome	0.001285553
viral	Complete Genome	0.001291275
viral	Complete Genome	0.001292229
viral	Complete Genome	0.001298904
viral	Complete Genome	0.001308441
viral	Complete Genome	0.001309395
viral	Complete Genome	0.001312256
viral	Complete Genome	0.001314163
viral	Complete Genome	0.001317024
viral	Complete Genome	0.001317024
viral	Complete Genome	0.0013237
viral	Complete Genome	0.001330376
viral	Complete Genome	0.001332283
viral	Complete Genome	0.001339912
viral	Complete Genome	0.001342773
viral	Complete Genome	0.001345634
viral	Complete Genome	0.001345634
viral	Complete Genome	0.001351357
viral	Complete Genome	0.00135231
viral	Complete Genome	0.001355171
viral	Complete Genome	0.00135994
viral	Complete Genome	0.001360893
viral	Complete Genome	0.001361847
viral	Complete Genome	0.001361847
viral	Complete Genome	0.001362801
viral	Complete Genome	0.001365662
viral	Complete Genome	0.001366615
viral	Complete Genome	0.001368523
viral	Complete Genome	0.00137043
viral	Complete Genome	0.00137043
viral	Complete Genome	0.001371384
viral	Complete Genome	0.001372337
viral	Complete Genome	0.001374245
viral	Complete Genome	0.001374245
viral	Complete Genome	0.001374245
viral	Complete Genome	0.001375198
viral	Complete Genome	0.001375198
viral	Complete Genome	0.001375198
viral	Complete Genome	0.001376152
viral	Complete Genome	0.001376152
viral	Complete Genome	0.001377106
viral	Complete Genome	0.001377106
viral	Complete Genome	0.001378059
viral	Complete Genome	0.001379013
viral	Complete Genome	0.001379967
viral	Complete Genome	0.001379967
viral	Complete Genome	0.001379967
viral	Complete Genome	0.001379967
viral	Complete Genome	0.001379967
viral	Complete Genome	0.001379967
viral	Complete Genome	0.001379967
viral	Complete Genome	0.001379967
viral	Complete Genome	0.00138092
viral	Complete Genome	0.00138092
viral	Complete Genome	0.00138092
viral	Complete Genome	0.00138092
viral	Complete Genome	0.00138092
viral	Complete Genome	0.001381874
viral	Complete Genome	0.001381874
viral	Complete Genome	0.001381874
viral	Complete Genome	0.001381874
viral	Complete Genome	0.001381874
viral	Complete Genome	0.001382828
viral	Complete Genome	0.001382828
viral	Complete Genome	0.001382828
viral	Complete Genome	0.001382828
viral	Complete Genome	0.001383781
viral	Complete Genome	0.001384735
viral	Complete Genome	0.001384735
viral	Complete Genome	0.001385689
viral	Complete Genome	0.001385689
viral	Complete Genome	0.001385689
viral	Complete Genome	0.001385689
viral	Complete Genome	0.001386642
viral	Complete Genome	0.001386642
viral	Complete Genome	0.001387596
viral	Complete Genome	0.001387596
viral	Complete Genome	0.00138855
viral	Complete Genome	0.00138855
viral	Complete Genome	0.00138855
viral	Complete Genome	0.00138855
viral	Complete Genome	0.00138855
viral	Complete Genome	0.001389503
viral	Complete Genome	0.001390457
viral	Complete Genome	0.001390457
viral	Complete Genome	0.001390457
viral	Complete Genome	0.001390457
viral	Complete Genome	0.001390457
viral	Complete Genome	0.001390457
viral	Complete Genome	0.001391411
viral	Complete Genome	0.001392365
viral	Complete Genome	0.001392365
viral	Complete Genome	0.001392365
viral	Complete Genome	0.001392365
viral	Complete Genome	0.001393318
viral	Complete Genome	0.001393318
viral	Complete Genome	0.001393318
viral	Complete Genome	0.001394272
viral	Complete Genome	0.001394272
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001395226
viral	Complete Genome	0.001396179
viral	Complete Genome	0.001396179
viral	Complete Genome	0.001397133
viral	Complete Genome	0.001397133
viral	Complete Genome	0.001398087
viral	Complete Genome	0.001398087
viral	Complete Genome	0.001398087
viral	Complete Genome	0.001398087
viral	Complete Genome	0.001399994
viral	Complete Genome	0.001399994
viral	Complete Genome	0.001399994
viral	Complete Genome	0.001399994
viral	Complete Genome	0.001399994
viral	Complete Genome	0.001399994
viral	Complete Genome	0.001400948
viral	Complete Genome	0.001400948
viral	Complete Genome	0.001400948
viral	Complete Genome	0.001400948
viral	Complete Genome	0.001401901
viral	Complete Genome	0.001401901
viral	Complete Genome	0.001401901
viral	Complete Genome	0.001401901
viral	Complete Genome	0.001401901
viral	Complete Genome	0.001403809
viral	Complete Genome	0.001404762
viral	Complete Genome	0.001404762
viral	Complete Genome	0.001404762
viral	Complete Genome	0.001404762
viral	Complete Genome	0.001405716
viral	Complete Genome	0.001405716
viral	Complete Genome	0.001405716
viral	Complete Genome	0.00140667
viral	Complete Genome	0.00140667
viral	Complete Genome	0.00140667
viral	Complete Genome	0.001407623
viral	Complete Genome	0.001407623
viral	Complete Genome	0.001408577
viral	Complete Genome	0.001409531
viral	Complete Genome	0.001409531
viral	Complete Genome	0.001409531
viral	Complete Genome	0.001409531
viral	Complete Genome	0.001410484
viral	Complete Genome	0.001411438
viral	Complete Genome	0.001411438
viral	Complete Genome	0.001411438
viral	Complete Genome	0.001411438
viral	Complete Genome	0.001411438
viral	Complete Genome	0.001411438
viral	Complete Genome	0.001411438
viral	Complete Genome	0.001412392
viral	Complete Genome	0.001412392
viral	Complete Genome	0.001412392
viral	Complete Genome	0.001413345
viral	Complete Genome	0.001413345
viral	Complete Genome	0.001414299
viral	Complete Genome	0.001414299
viral	Complete Genome	0.001418114
viral	Complete Genome	0.001418114
viral	Complete Genome	0.001418114
viral	Complete Genome	0.001419067
viral	Complete Genome	0.001419067
viral	Complete Genome	0.001419067
viral	Complete Genome	0.001419067
viral	Complete Genome	0.001420021
viral	Complete Genome	0.001420975
viral	Complete Genome	0.001420975
viral	Complete Genome	0.001422882
viral	Complete Genome	0.001423836
viral	Complete Genome	0.001423836
viral	Complete Genome	0.001424789
viral	Complete Genome	0.001424789
viral	Complete Genome	0.001425743
viral	Complete Genome	0.001425743
viral	Complete Genome	0.001425743
viral	Complete Genome	0.001426697
viral	Complete Genome	0.001426697
viral	Complete Genome	0.00142765
viral	Complete Genome	0.001428604
viral	Complete Genome	0.001428604
viral	Complete Genome	0.001430511
viral	Complete Genome	0.001430511
viral	Complete Genome	0.001430511
viral	Complete Genome	0.001431465
viral	Complete Genome	0.001432419
viral	Complete Genome	0.00143528
viral	Complete Genome	0.001436234
viral	Complete Genome	0.001438141
viral	Complete Genome	0.001440048
viral	Complete Genome	0.001441002
viral	Complete Genome	0.001441956
viral	Complete Genome	0.001446724
viral	Complete Genome	0.001446724
viral	Complete Genome	0.001448631
viral	Complete Genome	0.001448631
viral	Complete Genome	0.001450539
viral	Complete Genome	0.001456261
viral	Complete Genome	0.001458168
viral	Complete Genome	0.00146389
viral	Complete Genome	0.001478195
viral	Complete Genome	0.001485825
viral	Complete Genome	0.001493454
viral	Complete Genome	0.001519203
viral	Complete Genome	0.001519203
viral	Complete Genome	0.00152874
viral	Complete Genome	0.001543045
viral	Complete Genome	0.001565933
viral	Complete Genome	0.001568794
viral	Complete Genome	0.001569748
viral	Complete Genome	0.001578331
viral	Complete Genome	0.001606941
viral	Complete Genome	0.001606941
viral	Complete Genome	0.001619339
viral	Complete Genome	0.001623154
viral	Complete Genome	0.001624107
viral	Complete Genome	0.001624107
viral	Complete Genome	0.001633644
viral	Complete Genome	0.001633644
viral	Complete Genome	0.001639366
viral	Complete Genome	0.001646042
viral	Complete Genome	0.001651764
viral	Complete Genome	0.001652718
viral	Complete Genome	0.001652718
viral	Complete Genome	0.001660347
viral	Complete Genome	0.001660347
viral	Complete Genome	0.001663208
viral	Complete Genome	0.001666069
viral	Complete Genome	0.001671791
viral	Complete Genome	0.001672745
viral	Complete Genome	0.001674652
viral	Complete Genome	0.001676559
viral	Complete Genome	0.001676559
viral	Complete Genome	0.001677513
viral	Complete Genome	0.001681328
viral	Complete Genome	0.001681328
viral	Complete Genome	0.001684189
viral	Complete Genome	0.00168705
viral	Complete Genome	0.001694679
viral	Complete Genome	0.001694679
viral	Complete Genome	0.001698494
viral	Complete Genome	0.001703262
viral	Complete Genome	0.001703262
viral	Complete Genome	0.001704216
viral	Complete Genome	0.001707077
viral	Complete Genome	0.001709938
viral	Complete Genome	0.001713753
viral	Complete Genome	0.001716614
viral	Complete Genome	0.001716614
viral	Complete Genome	0.001717567
viral	Complete Genome	0.001720428
viral	Complete Genome	0.001720428
viral	Complete Genome	0.001722336
viral	Complete Genome	0.001725197
viral	Complete Genome	0.001728058
viral	Complete Genome	0.001729012
viral	Complete Genome	0.001732826
viral	Complete Genome	0.001732826
viral	Complete Genome	0.001735687
viral	Complete Genome	0.001736641
viral	Complete Genome	0.001737595
viral	Complete Genome	0.001739502
viral	Complete Genome	0.001739502
viral	Complete Genome	0.001742363
viral	Complete Genome	0.001743317
viral	Complete Genome	0.00174427
viral	Complete Genome	0.001746178
viral	Complete Genome	0.001749992
viral	Complete Genome	0.001750946
viral	Complete Genome	0.0017519
viral	Complete Genome	0.001752853
viral	Complete Genome	0.001753807
viral	Complete Genome	0.001753807
viral	Complete Genome	0.001754761
viral	Complete Genome	0.001754761
viral	Complete Genome	0.001756668
viral	Complete Genome	0.001759529
viral	Complete Genome	0.001760483
viral	Complete Genome	0.001761436
viral	Complete Genome	0.001763344
viral	Complete Genome	0.001764297
viral	Complete Genome	0.001765251
viral	Complete Genome	0.001766205
viral	Complete Genome	0.001766205
viral	Complete Genome	0.001768112
viral	Complete Genome	0.001768112
viral	Complete Genome	0.00177002
viral	Complete Genome	0.00177002
viral	Complete Genome	0.001771927
viral	Complete Genome	0.001772881
viral	Complete Genome	0.001773834
viral	Complete Genome	0.001773834
viral	Complete Genome	0.001775742
viral	Complete Genome	0.001777649
viral	Complete Genome	0.00178051
viral	Complete Genome	0.001782417
viral	Complete Genome	0.001783371
viral	Complete Genome	0.001783371
viral	Complete Genome	0.001784325
viral	Complete Genome	0.001786232
viral	Complete Genome	0.001787186
viral	Complete Genome	0.001788139
viral	Complete Genome	0.001790047
viral	Complete Genome	0.001790047
viral	Complete Genome	0.001790047
viral	Complete Genome	0.001791
viral	Complete Genome	0.001791954
viral	Complete Genome	0.00179863
viral	Complete Genome	0.00179863
viral	Complete Genome	0.001801491
viral	Complete Genome	0.001803398
viral	Complete Genome	0.001803398
viral	Complete Genome	0.001804352
viral	Complete Genome	0.001806259
viral	Complete Genome	0.001808167
viral	Complete Genome	0.001811028
viral	Complete Genome	0.001811028
viral	Complete Genome	0.001811028
viral	Complete Genome	0.001813889
viral	Complete Genome	0.001814842
viral	Complete Genome	0.001815796
viral	Complete Genome	0.00181675
viral	Complete Genome	0.00181675
viral	Complete Genome	0.001817703
viral	Complete Genome	0.001820564
viral	Complete Genome	0.001823425
viral	Complete Genome	0.001825333
viral	Complete Genome	0.001830101
viral	Complete Genome	0.001830101
viral	Complete Genome	0.001831055
viral	Complete Genome	0.001831055
viral	Complete Genome	0.001831055
viral	Complete Genome	0.001833916
viral	Complete Genome	0.001834869
viral	Complete Genome	0.001835823
viral	Complete Genome	0.001835823
viral	Complete Genome	0.001838684
viral	Complete Genome	0.001838684
viral	Complete Genome	0.001839638
viral	Complete Genome	0.001842499
viral	Complete Genome	0.00184536
viral	Complete Genome	0.001846313
viral	Complete Genome	0.001847267
viral	Complete Genome	0.001848221
viral	Complete Genome	0.001848221
viral	Complete Genome	0.001853943
viral	Complete Genome	0.001854897
viral	Complete Genome	0.001854897
viral	Complete Genome	0.00185585
viral	Complete Genome	0.001857758
viral	Complete Genome	0.001859665
viral	Complete Genome	0.001859665
viral	Complete Genome	0.001859665
viral	Complete Genome	0.001860619
viral	Complete Genome	0.001862526
viral	Complete Genome	0.001865387
viral	Complete Genome	0.001865387
viral	Complete Genome	0.001868248
viral	Complete Genome	0.001869202
viral	Complete Genome	0.001873016
viral	Complete Genome	0.001873016
viral	Complete Genome	0.001874924
viral	Complete Genome	0.001879692
viral	Complete Genome	0.00188446
viral	Complete Genome	0.001887321
viral	Complete Genome	0.001895905
viral	Complete Genome	0.001898766
viral	Complete Genome	0.001899719
viral	Complete Genome	0.001899719
viral	Complete Genome	0.001900673
viral	Complete Genome	0.00190258
viral	Complete Genome	0.001905441
viral	Complete Genome	0.00191021
viral	Complete Genome	0.001911163
viral	Complete Genome	0.001913071
viral	Complete Genome	0.001914978
viral	Complete Genome	0.001914978
viral	Complete Genome	0.001916885
viral	Complete Genome	0.001916885
viral	Complete Genome	0.001917839
viral	Complete Genome	0.001917839
viral	Complete Genome	0.001919746
viral	Complete Genome	0.001922607
viral	Complete Genome	0.001927376
viral	Complete Genome	0.001930237
viral	Complete Genome	0.00193119
viral	Complete Genome	0.001933098
viral	Complete Genome	0.001935005
viral	Complete Genome	0.001935959
viral	Complete Genome	0.001935959
viral	Complete Genome	0.001935959
viral	Complete Genome	0.001936913
viral	Complete Genome	0.00193882
viral	Complete Genome	0.001941681
viral	Complete Genome	0.001941681
viral	Complete Genome	0.001943588
viral	Complete Genome	0.001947403
viral	Complete Genome	0.001947403
viral	Complete Genome	0.001948357
viral	Complete Genome	0.00194931
viral	Complete Genome	0.001950264
viral	Complete Genome	0.001950264
viral	Complete Genome	0.001951218
viral	Complete Genome	0.001952171
viral	Complete Genome	0.001955032
viral	Complete Genome	0.001955986
viral	Complete Genome	0.001955986
viral	Complete Genome	0.001963615
viral	Complete Genome	0.001964569
viral	Complete Genome	0.001966476
viral	Complete Genome	0.00196743
viral	Complete Genome	0.00196743
viral	Complete Genome	0.00196743
viral	Complete Genome	0.001970291
viral	Complete Genome	0.001972198
viral	Complete Genome	0.001973152
viral	Complete Genome	0.00197506
viral	Complete Genome	0.001990318
viral	Complete Genome	0.001991272
viral	Complete Genome	0.001993179
viral	Complete Genome	0.001995087
viral	Complete Genome	0.001997948
viral	Complete Genome	0.001997948
viral	Complete Genome	0.002000809
viral	Complete Genome	0.002001762
viral	Complete Genome	0.002002716
viral	Complete Genome	0.002012253
viral	Complete Genome	0.002017021
viral	Complete Genome	0.002017975
viral	Complete Genome	0.002019882
viral	Complete Genome	0.002023697
viral	Complete Genome	0.002023697
viral	Complete Genome	0.002023697
viral	Complete Genome	0.002024651
viral	Complete Genome	0.002024651
viral	Complete Genome	0.002025604
viral	Complete Genome	0.002025604
viral	Complete Genome	0.002026558
viral	Complete Genome	0.002029419
viral	Complete Genome	0.002031326
viral	Complete Genome	0.002031326
viral	Complete Genome	0.002033234
viral	Complete Genome	0.002035141
viral	Complete Genome	0.002038956
viral	Complete Genome	0.002039909
viral	Complete Genome	0.002046585
viral	Complete Genome	0.002048492
viral	Complete Genome	0.002049446
viral	Complete Genome	0.002053261
viral	Complete Genome	0.002056122
viral	Complete Genome	0.002056122
viral	Complete Genome	0.002058029
viral	Complete Genome	0.002058029
viral	Complete Genome	0.002058983
viral	Complete Genome	0.002061844
viral	Complete Genome	0.002062798
viral	Complete Genome	0.002063751
viral	Complete Genome	0.002064705
viral	Complete Genome	0.002064705
viral	Complete Genome	0.002071381
viral	Complete Genome	0.002071381
viral	Complete Genome	0.002073288
viral	Complete Genome	0.002074242
viral	Complete Genome	0.002075195
viral	Complete Genome	0.002077103
viral	Complete Genome	0.002077103
viral	Complete Genome	0.002078056
viral	Complete Genome	0.002078056
viral	Complete Genome	0.00207901
viral	Complete Genome	0.002081871
viral	Complete Genome	0.002082825
viral	Complete Genome	0.002083778
viral	Complete Genome	0.0020895
viral	Complete Genome	0.002096176
viral	Complete Genome	0.002098083
viral	Complete Genome	0.002099991
viral	Complete Genome	0.002101898
viral	Complete Genome	0.002102852
viral	Complete Genome	0.002102852
viral	Complete Genome	0.002108574
viral	Complete Genome	0.002109528
viral	Complete Genome	0.002109528
viral	Complete Genome	0.002110481
viral	Complete Genome	0.002110481
viral	Complete Genome	0.00211525
viral	Complete Genome	0.002117157
viral	Complete Genome	0.002121925
viral	Complete Genome	0.002122879
viral	Complete Genome	0.002123833
viral	Complete Genome	0.002124786
viral	Complete Genome	0.002124786
viral	Complete Genome	0.002126694
viral	Complete Genome	0.002128601
viral	Complete Genome	0.002130508
viral	Complete Genome	0.002130508
viral	Complete Genome	0.002131462
viral	Complete Genome	0.002132416
viral	Complete Genome	0.002134323
viral	Complete Genome	0.002137184
viral	Complete Genome	0.002137184
viral	Complete Genome	0.002140045
viral	Complete Genome	0.002142906
viral	Complete Genome	0.002146721
viral	Complete Genome	0.002149582
viral	Complete Genome	0.002149582
viral	Complete Genome	0.002150536
viral	Complete Genome	0.002150536
viral	Complete Genome	0.002150536
viral	Complete Genome	0.002151489
viral	Complete Genome	0.002152443
viral	Complete Genome	0.002153397
viral	Complete Genome	0.002153397
viral	Complete Genome	0.00215435
viral	Complete Genome	0.00215435
viral	Complete Genome	0.002155304
viral	Complete Genome	0.002155304
viral	Complete Genome	0.002157211
viral	Complete Genome	0.002159119
viral	Complete Genome	0.002160072
viral	Complete Genome	0.002162933
viral	Complete Genome	0.002164841
viral	Complete Genome	0.002166748
viral	Complete Genome	0.002170563
viral	Complete Genome	0.002173424
viral	Complete Genome	0.002173424
viral	Complete Genome	0.002174377
viral	Complete Genome	0.002177238
viral	Complete Genome	0.002178192
viral	Complete Genome	0.002180099
viral	Complete Genome	0.002182007
viral	Complete Genome	0.002183914
viral	Complete Genome	0.002185822
viral	Complete Genome	0.002185822
viral	Complete Genome	0.002186775
viral	Complete Genome	0.002188683
viral	Complete Genome	0.002188683
viral	Complete Genome	0.002189636
viral	Complete Genome	0.002192497
viral	Complete Genome	0.002193451
viral	Complete Genome	0.002193451
viral	Complete Genome	0.002194405
viral	Complete Genome	0.002194405
viral	Complete Genome	0.002195358
viral	Complete Genome	0.002197266
viral	Complete Genome	0.002198219
viral	Complete Genome	0.00220108
viral	Complete Genome	0.00220108
viral	Complete Genome	0.002202034
viral	Complete Genome	0.002203941
viral	Complete Genome	0.002203941
viral	Complete Genome	0.002205849
viral	Complete Genome	0.002205849
viral	Complete Genome	0.002205849
viral	Complete Genome	0.002206802
viral	Complete Genome	0.002206802
viral	Complete Genome	0.002207756
viral	Complete Genome	0.002207756
viral	Complete Genome	0.002207756
viral	Complete Genome	0.00220871
viral	Complete Genome	0.002209663
viral	Complete Genome	0.002210617
viral	Complete Genome	0.002211571
viral	Complete Genome	0.002211571
viral	Complete Genome	0.002214432
viral	Complete Genome	0.002218246
viral	Complete Genome	0.0022192
viral	Complete Genome	0.0022192
viral	Complete Genome	0.002221107
viral	Complete Genome	0.002222061
viral	Complete Genome	0.002222061
viral	Complete Genome	0.002223015
viral	Complete Genome	0.002223969
viral	Complete Genome	0.002224922
viral	Complete Genome	0.002224922
viral	Complete Genome	0.002225876
viral	Complete Genome	0.002225876
viral	Complete Genome	0.002225876
viral	Complete Genome	0.002225876
viral	Complete Genome	0.00222683
viral	Complete Genome	0.002227783
viral	Complete Genome	0.002227783
viral	Complete Genome	0.002228737
viral	Complete Genome	0.002229691
viral	Complete Genome	0.002229691
viral	Complete Genome	0.002230644
viral	Complete Genome	0.002230644
viral	Complete Genome	0.002230644
viral	Complete Genome	0.002231598
viral	Complete Genome	0.002231598
viral	Complete Genome	0.002232552
viral	Complete Genome	0.002232552
viral	Complete Genome	0.002233505
viral	Complete Genome	0.002234459
viral	Complete Genome	0.002235413
viral	Complete Genome	0.002236366
viral	Complete Genome	0.002242088
viral	Complete Genome	0.002244949
viral	Complete Genome	0.002245903
viral	Complete Genome	0.002246857
viral	Complete Genome	0.002246857
viral	Complete Genome	0.00224781
viral	Complete Genome	0.002248764
viral	Complete Genome	0.002248764
viral	Complete Genome	0.002248764
viral	Complete Genome	0.002249718
viral	Complete Genome	0.002251625
viral	Complete Genome	0.002251625
viral	Complete Genome	0.002251625
viral	Complete Genome	0.002252579
viral	Complete Genome	0.002253532
viral	Complete Genome	0.002253532
viral	Complete Genome	0.002254486
viral	Complete Genome	0.002256393
viral	Complete Genome	0.002256393
viral	Complete Genome	0.002257347
viral	Complete Genome	0.002257347
viral	Complete Genome	0.002257347
viral	Complete Genome	0.002261162
viral	Complete Genome	0.002261162
viral	Complete Genome	0.002262115
viral	Complete Genome	0.002264977
viral	Complete Genome	0.00226593
viral	Complete Genome	0.00226593
viral	Complete Genome	0.002266884
viral	Complete Genome	0.002268791
viral	Complete Genome	0.002269745
viral	Complete Genome	0.002269745
viral	Complete Genome	0.002270699
viral	Complete Genome	0.00227356
viral	Complete Genome	0.002274513
viral	Complete Genome	0.002274513
viral	Complete Genome	0.002276421
viral	Complete Genome	0.002278328
viral	Complete Genome	0.002279282
viral	Complete Genome	0.002280235
viral	Complete Genome	0.002282143
viral	Complete Genome	0.002282143
viral	Complete Genome	0.002282143
viral	Complete Genome	0.00228405
viral	Complete Genome	0.00228405
viral	Complete Genome	0.002285004
viral	Complete Genome	0.002285004
viral	Complete Genome	0.002285004
viral	Complete Genome	0.002285957
viral	Complete Genome	0.002287865
viral	Complete Genome	0.002289772
viral	Complete Genome	0.002289772
viral	Complete Genome	0.002291679
viral	Complete Genome	0.002293587
viral	Complete Genome	0.002296448
viral	Complete Genome	0.002297401
viral	Complete Genome	0.002297401
viral	Complete Genome	0.002297401
