Assembly_accession	Superkingdom	Species_taxid	Genome_size	Genome_sizeM
GCF_000910175.1	Viral	1343493	1153	0.001099586
GCF_000930235.1	Viral	1592207	1160	0.001106262
GCF_001589395.1	Viral	1685730	1163	0.001109123
GCF_001274105.1	Viral	1692251	1165	0.001111031
GCF_003028905.1	Viral	2169722	1186	0.001131058
GCF_000850505.1	Viral	190809	1193	0.001137733
GCF_003028945.1	Viral	2169723	1196	0.001140594
GCF_000855465.1	Viral	141860	1201	0.001145363
GCF_001590035.1	Viral	1685728	1201	0.001145363
GCF_000858845.1	Viral	195062	1214	0.001157761
GCF_001590015.1	Viral	1685732	1215	0.001158714
GCF_003029585.1	Viral	2169721	1222	0.00116539
GCF_000913975.1	Viral	1250316	1227	0.001170158
GCF_000913955.1	Viral	2169724	1227	0.001170158
GCF_001590315.1	Viral	1685731	1232	0.001174927
GCF_004133385.1	Viral	2304214	1240	0.001182556
GCF_001589415.1	Viral	1685726	1244	0.001186371
GCF_000930175.1	Viral	1592212	1248	0.001190186
GCF_001590335.1	Viral	1685727	1250	0.001192093
GCF_001684765.1	Viral	1788450	1253	0.001194954
GCF_001589375.1	Viral	1685734	1256	0.001197815
GCF_000852985.1	Viral	192021	1263	0.001204491
GCF_000851265.1	Viral	1917980	1267	0.001208305
GCF_002149805.1	Viral	1595961	1287	0.001227379
GCF_000857145.1	Viral	302070	1291	0.001231194
GCF_000879295.1	Viral	519016	1295	0.001235008
GCF_001551325.1	Viral	1778570	1301	0.00124073
GCF_001550605.1	Viral	1778573	1301	0.00124073
GCF_001589695.1	Viral	1685733	1302	0.001241684
GCF_002988085.1	Viral	1971237	1303	0.001242638
GCF_001550985.1	Viral	1778572	1314	0.001253128
GCF_002008795.1	Viral	1958957	1321	0.001259804
GCF_000849185.1	Viral	1925803	1323	0.001261711
GCF_000908515.1	Viral	1335766	1329	0.001267433
GCF_001590055.1	Viral	1685724	1338	0.001276016
GCF_000888815.1	Viral	912035	1348	0.001285553
GCF_001274245.1	Viral	1692262	1354	0.001291275
GCF_001274445.1	Viral	1692245	1362	0.001298904
GCF_004132025.1	Viral	2161876	1365	0.001301765
GCF_004132085.1	Viral	2161880	1372	0.001308441
GCF_000841065.1	Viral	756759	1373	0.001309395
GCF_004132065.1	Viral	2161879	1378	0.001314163
GCF_000909475.1	Viral	1188819	1381	0.001317024
GCF_000837045.1	Viral	1458187	1381	0.001317024
GCF_002830085.1	Viral	1198498	1388	0.0013237
GCF_001645995.1	Viral	1843772	1405	0.001339912
GCF_001967255.1	Viral	2169842	1408	0.001342773
GCF_000846465.1	Viral	169693	1411	0.001345634
GCF_003029195.1	Viral	2169829	1417	0.001351357
GCF_000865445.1	Viral	366686	1418	0.00135231
GCF_000898635.1	Viral	1225644	1426	0.00135994
GCF_000885695.1	Viral	656028	1427	0.001360893
GCF_001505475.1	Viral	1246849	1428	0.001361847
GCF_000866525.1	Viral	329288	1429	0.001362801
GCF_000900915.1	Viral	1255765	1432	0.001365662
GCF_000843945.1	Viral	234829	1433	0.001366615
GCF_000881315.1	Viral	640136	1435	0.001368523
GCF_000870705.1	Viral	434068	1437	0.00137043
GCF_002830325.1	Viral	2049892	1437	0.00137043
GCF_002987825.1	Viral	2010316	1438	0.001371384
GCF_000882795.1	Viral	575918	1439	0.001372337
GCF_000888115.1	Viral	713089	1441	0.001374245
GCF_000904615.1	Viral	1175505	1441	0.001374245
GCF_001629965.1	Viral	1819678	1441	0.001374245
GCF_000864405.1	Viral	339965	1442	0.001375198
GCF_000901415.1	Viral	1176156	1442	0.001375198
GCF_002987955.1	Viral	2010333	1442	0.001375198
GCF_000890035.1	Viral	2169825	1442	0.001375198
GCF_000871745.1	Viral	447602	1443	0.001376152
GCF_000902995.1	Viral	1249467	1443	0.001376152
GCF_000874005.1	Viral	447603	1444	0.001377106
GCF_000874105.1	Viral	454128	1444	0.001377106
GCF_000871565.1	Viral	2010326	1445	0.001378059
GCF_000923375.1	Viral	875325	1446	0.001379013
GCF_000845565.1	Viral	134386	1447	0.001379967
GCF_000844745.1	Viral	185750	1447	0.001379967
GCF_000862785.1	Viral	278069	1447	0.001379967
GCF_000865025.1	Viral	325113	1447	0.001379967
GCF_000879055.1	Viral	497865	1447	0.001379967
GCF_000887135.1	Viral	713092	1447	0.001379967
GCF_002987965.1	Viral	2031200	1447	0.001379967
GCF_000890255.1	Viral	2169824	1447	0.001379967
GCF_000866685.1	Viral	306025	1448	0.00138092
GCF_000871765.1	Viral	447606	1448	0.00138092
GCF_000845625.1	Viral	693897	1448	0.00138092
GCF_000897935.1	Viral	1213187	1448	0.00138092
GCF_000901935.1	Viral	1250303	1448	0.00138092
GCF_000861305.1	Viral	221036	1449	0.001381874
GCF_000866125.1	Viral	260479	1449	0.001381874
GCF_001995595.1	Viral	1931113	1449	0.001381874
GCF_002830365.1	Viral	2040662	1449	0.001381874
GCF_003028925.1	Viral	2169907	1449	0.001381874
GCF_000844325.1	Viral	220813	1450	0.001382828
GCF_000864065.1	Viral	326489	1450	0.001382828
GCF_000869565.1	Viral	411248	1450	0.001382828
GCF_002830245.1	Viral	2010327	1450	0.001382828
GCF_002830385.1	Viral	2033721	1451	0.001383781
GCF_000885995.1	Viral	666635	1452	0.001384735
GCF_001020035.1	Viral	1273128	1452	0.001384735
GCF_000845605.1	Viral	219596	1453	0.001385689
GCF_000848105.1	Viral	221037	1453	0.001385689
GCF_000878995.1	Viral	662596	1453	0.001385689
GCF_002987855.1	Viral	2010317	1453	0.001385689
GCF_001430615.1	Viral	1705090	1454	0.001386642
GCF_002830125.1	Viral	2010323	1454	0.001386642
GCF_000918115.1	Viral	1461792	1455	0.001387596
GCF_003033975.1	Viral	96892	1456	0.00138855
GCF_000872545.1	Viral	436242	1456	0.00138855
GCF_000870905.1	Viral	447605	1456	0.00138855
GCF_000879715.1	Viral	488255	1456	0.00138855
GCF_000889375.1	Viral	1949199	1456	0.00138855
GCF_002830165.1	Viral	2010324	1457	0.001389503
GCF_000846445.1	Viral	169687	1458	0.001390457
GCF_000843925.1	Viral	186371	1458	0.001390457
GCF_000846485.1	Viral	221054	1458	0.001390457
GCF_000866905.1	Viral	292626	1458	0.001390457
GCF_000874365.1	Viral	360580	1458	0.001390457
GCF_000845285.1	Viral	377611	1458	0.001390457
GCF_000865285.1	Viral	337824	1459	0.001391411
GCF_000868625.1	Viral	377463	1460	0.001392365
GCF_000873325.1	Viral	447600	1460	0.001392365
GCF_000884675.1	Viral	713091	1460	0.001392365
GCF_000915855.1	Viral	1428189	1460	0.001392365
GCF_000865005.1	Viral	307111	1461	0.001393318
GCF_000871425.1	Viral	436243	1461	0.001393318
GCF_000885195.1	Viral	661505	1461	0.001393318
GCF_000845585.1	Viral	205323	1462	0.001394272
GCF_002830145.1	Viral	447599	1462	0.001394272
GCF_000846005.2	Viral	218845	1463	0.001395226
GCF_000865705.1	Viral	291270	1463	0.001395226
GCF_000905935.1	Viral	748170	1463	0.001395226
GCF_000864785.1	Viral	926844	1463	0.001395226
GCF_000902015.1	Viral	1260769	1463	0.001395226
GCF_000914395.1	Viral	1293961	1463	0.001395226
GCF_001907845.1	Viral	1925152	1463	0.001395226
GCF_002830225.1	Viral	1418029	1464	0.001396179
GCF_001430415.1	Viral	1705091	1464	0.001396179
GCF_000855605.1	Viral	196089	1465	0.001397133
GCF_000925235.1	Viral	1544378	1465	0.001397133
GCF_000844785.1	Viral	53991	1466	0.001398087
GCF_000873345.1	Viral	447604	1466	0.001398087
GCF_000889335.1	Viral	885379	1466	0.001398087
GCF_000870925.1	Viral	2173168	1466	0.001398087
GCF_001974535.1	Viral	187850	1468	0.001399994
GCF_000844765.1	Viral	714640	1468	0.001399994
GCF_000897295.1	Viral	1048668	1468	0.001399994
GCF_000899255.1	Viral	1231334	1468	0.001399994
GCF_000899235.1	Viral	1705093	1468	0.001399994
GCF_002830305.1	Viral	2010332	1468	0.001399994
GCF_000858125.1	Viral	304222	1469	0.001400948
GCF_000868325.1	Viral	393034	1469	0.001400948
GCF_000890495.1	Viral	743023	1469	0.001400948
GCF_002830185.1	Viral	2010325	1469	0.001400948
GCF_000885355.1	Viral	670251	1470	0.001401901
GCF_000887695.1	Viral	905055	1470	0.001401901
GCF_000891415.1	Viral	908276	1470	0.001401901
GCF_000869485.1	Viral	1397670	1470	0.001401901
GCF_001579335.1	Viral	1841147	1470	0.001401901
GCF_000915975.1	Viral	1420600	1472	0.001403809
GCF_000870865.1	Viral	447597	1473	0.001404762
GCF_000872385.1	Viral	486898	1473	0.001404762
GCF_002987875.1	Viral	2049883	1473	0.001404762
GCF_003029525.1	Viral	2169846	1473	0.001404762
GCF_000875665.1	Viral	391090	1474	0.001405716
GCF_001654225.1	Viral	1755198	1474	0.001405716
GCF_002830345.1	Viral	2083207	1474	0.001405716
GCF_000915275.1	Viral	1112202	1475	0.00140667
GCF_001963675.1	Viral	1468597	1475	0.00140667
GCF_000897335.1	Viral	2010320	1475	0.00140667
GCF_000858085.1	Viral	292627	1476	0.001407623
GCF_000842005.1	Viral	915293	1476	0.001407623
GCF_003029185.1	Viral	2560838	1477	0.001408577
GCF_000873365.1	Viral	417192	1478	0.001409531
GCF_000871725.1	Viral	447598	1478	0.001409531
GCF_000892915.1	Viral	2050589	1478	0.001409531
GCF_002080175.1	Viral	1609290	1479	0.001410484
GCF_000884735.1	Viral	635076	1480	0.001411438
GCF_000886955.1	Viral	679536	1480	0.001411438
GCF_000887815.1	Viral	743035	1480	0.001411438
GCF_001962155.1	Viral	1468596	1480	0.001411438
GCF_002830025.1	Viral	2010315	1480	0.001411438
GCF_002830065.1	Viral	2010319	1480	0.001411438
GCF_003029425.1	Viral	2169827	1480	0.001411438
GCF_000872085.1	Viral	427315	1481	0.001412392
GCF_000915235.1	Viral	1384632	1481	0.001412392
GCF_003028985.1	Viral	2169908	1481	0.001412392
GCF_000868685.1	Viral	410826	1482	0.001413345
GCF_001045325.1	Viral	1507725	1483	0.001414299
GCF_000867705.1	Viral	315392	1487	0.001418114
GCF_000884935.1	Viral	538004	1487	0.001418114
GCF_000890355.1	Viral	743040	1487	0.001418114
GCF_000989055.1	Viral	759124	1488	0.001419067
GCF_000915415.1	Viral	1454227	1488	0.001419067
GCF_003029175.1	Viral	2169828	1488	0.001419067
GCF_004131285.1	Viral	2203894	1488	0.001419067
GCF_000923555.1	Viral	1506184	1489	0.001420021
GCF_000872785.1	Viral	562747	1490	0.001420975
GCF_000889475.1	Viral	929051	1490	0.001420975
GCF_000843905.1	Viral	2010286	1493	0.001423836
GCF_002830265.1	Viral	2010331	1493	0.001423836
GCF_003029015.1	Viral	1428342	1494	0.001424789
GCF_000920515.2	Viral	1476485	1494	0.001424789
GCF_000889595.1	Viral	908070	1495	0.001425743
GCF_003034085.1	Viral	2169843	1495	0.001425743
GCF_000892815.1	Viral	945250	1496	0.001426697
GCF_001430315.1	Viral	1542665	1496	0.001426697
GCF_000921035.1	Viral	1506157	1497	0.00142765
GCF_003034075.1	Viral	944996	1498	0.001428604
GCF_001429995.1	Viral	1705092	1498	0.001428604
GCF_000844465.1	Viral	518829	1500	0.001430511
GCF_000904215.1	Viral	1297646	1500	0.001430511
GCF_000903535.1	Viral	1407058	1500	0.001430511
GCF_001669805.1	Viral	2010321	1500	0.001430511
GCF_003034005.1	Viral	377461	1501	0.001431465
GCF_002830005.1	Viral	2010314	1502	0.001432419
GCF_000900355.1	Viral	2010322	1505	0.00143528
GCF_000890935.1	Viral	2169841	1506	0.001436234
GCF_000891395.1	Viral	908009	1508	0.001438141
GCF_003028915.1	Viral	656025	1510	0.001440048
GCF_003034015.1	Viral	240557	1512	0.001441956
GCF_003260955.1	Viral	2219110	1517	0.001446724
GCF_003034035.1	Viral	713090	1519	0.001448631
GCF_000887975.1	Viral	741733	1519	0.001448631
GCF_000848965.1	Viral	220812	1521	0.001450539
GCF_000897035.1	Viral	189515	1527	0.001456261
GCF_000852285.1	Viral	99930	1529	0.001458168
GCF_000923295.1	Viral	1507403	1535	0.00146389
GCF_000921555.1	Viral	944995	1566	0.001493454
GCF_000900895.1	Viral	2169905	1593	0.001519203
GCF_001646435.1	Viral	1843763	1603	0.00152874
GCF_000898675.1	Viral	1231298	1645	0.001568794
GCF_004045975.1	Viral	1959842	1698	0.001619339
GCF_001590475.1	Viral	1685739	1713	0.001633644
GCF_001274465.1	Viral	1692263	1719	0.001639366
GCF_000931055.1	Viral	1592082	1733	0.001652718
GCF_001274425.1	Viral	1692249	1747	0.001666069
GCF_001589775.1	Viral	1685751	1754	0.001672745
GCF_000914315.1	Viral	1454029	1758	0.001676559
GCF_001590435.1	Viral	1685747	1759	0.001677513
GCF_000856565.1	Viral	12475	1763	0.001681328
GCF_004129135.1	Viral	1592123	1763	0.001681328
GCF_000905055.1	Viral	1168547	1777	0.001694679
GCF_000890515.1	Viral	2050925	1786	0.001703262
GCF_004134625.1	Viral	2364132	1786	0.001703262
GCF_001589815.1	Viral	1685749	1787	0.001704216
GCF_002820225.1	Viral	1987745	1790	0.001707077
GCF_004134705.1	Viral	2419666	1793	0.001709938
GCF_002819705.1	Viral	1987731	1800	0.001716614
GCF_002820085.1	Viral	2038720	1800	0.001716614
GCF_002819605.1	Viral	1959761	1801	0.001717567
GCF_001590575.1	Viral	1685765	1804	0.001720428
GCF_004131045.1	Viral	2164100	1804	0.001720428
GCF_001550625.1	Viral	1778561	1812	0.001728058
GCF_000917995.1	Viral	1234881	1813	0.001729012
GCF_002820105.1	Viral	2038721	1817	0.001732826
GCF_001551005.1	Viral	1778560	1820	0.001735687
GCF_001958615.1	Viral	1923433	1821	0.001736641
GCF_001589735.1	Viral	1685725	1824	0.001739502
GCF_000886655.1	Viral	642258	1827	0.001742363
GCF_002819925.1	Viral	2051672	1829	0.00174427
GCF_000915355.1	Viral	1454027	1831	0.001746178
GCF_001589635.1	Viral	1685768	1835	0.001749992
GCF_002219985.1	Viral	1961162	1836	0.001750946
GCF_002820065.1	Viral	2038719	1837	0.0017519
GCF_000905135.1	Viral	2050038	1838	0.001752853
GCF_000837765.1	Viral	133704	1839	0.001753807
GCF_004128955.1	Viral	1592111	1839	0.001753807
GCF_000891475.1	Viral	2050926	1840	0.001754761
GCF_001939215.2	Viral	2169855	1840	0.001754761
GCF_000930515.1	Viral	1987737	1842	0.001756668
GCF_000918015.1	Viral	1475143	1846	0.001760483
GCF_002819665.1	Viral	2050586	1847	0.001761436
GCF_000862765.1	Viral	85708	1849	0.001763344
GCF_000943745.1	Viral	1611039	1850	0.001764297
GCF_000923395.1	Viral	1987742	1851	0.001765251
GCF_001401365.1	Viral	1736634	1852	0.001766205
GCF_000887995.1	Viral	2050596	1852	0.001766205
GCF_000906535.1	Viral	1173709	1854	0.001768112
GCF_000915335.1	Viral	1454030	1854	0.001768112
GCF_000888095.1	Viral	720569	1856	0.00177002
GCF_002819965.1	Viral	1234882	1856	0.00177002
GCF_002820145.1	Viral	2038723	1858	0.001771927
GCF_002819485.1	Viral	1868220	1859	0.001772881
GCF_002819745.1	Viral	1987733	1860	0.001773834
GCF_001316415.1	Viral	2003309	1862	0.001775742
GCF_004129035.1	Viral	1592120	1864	0.001777649
GCF_002118545.1	Viral	1961155	1867	0.00178051
GCF_000913915.1	Viral	1419711	1869	0.001782417
GCF_002820005.1	Viral	1574361	1870	0.001783371
GCF_002820165.1	Viral	2038724	1870	0.001783371
GCF_002820185.1	Viral	2038725	1871	0.001784325
GCF_002819765.1	Viral	1987734	1873	0.001786232
GCF_001684865.1	Viral	1788454	1874	0.001787186
GCF_002819985.1	Viral	1574360	1875	0.001788139
GCF_000929875.1	Viral	1987735	1877	0.001790047
GCF_002819645.1	Viral	2050585	1877	0.001790047
GCF_000925255.1	Viral	459957	1878	0.001791
GCF_002820025.1	Viral	1574362	1879	0.001791954
GCF_000920495.1	Viral	1234883	1886	0.00179863
GCF_000954835.1	Viral	1618240	1886	0.00179863
GCF_004128995.1	Viral	1592114	1889	0.001801491
GCF_001590135.1	Viral	1685748	1891	0.001803398
GCF_004133245.1	Viral	2109365	1891	0.001803398
GCF_000885115.1	Viral	642253	1892	0.001804352
GCF_000918035.2	Viral	2038728	1894	0.001806259
GCF_003847225.1	Viral	2734328	1896	0.001808167
GCF_000837325.1	Viral	146032	1899	0.001811028
GCF_000908355.1	Viral	1868219	1899	0.001811028
GCF_000848385.1	Viral	12450	1903	0.001814842
GCF_001590095.1	Viral	1685750	1904	0.001815796
GCF_000885735.1	Viral	642260	1905	0.00181675
GCF_001589455.1	Viral	1685752	1905	0.00181675
GCF_000954875.1	Viral	1618232	1906	0.001817703
GCF_000920575.1	Viral	1234879	1909	0.001820564
GCF_000954455.1	Viral	1618245	1914	0.001825333
GCF_001684885.1	Viral	1788449	1919	0.001830101
GCF_002937265.1	Viral	2077300	1919	0.001830101
GCF_004045915.1	Viral	1959845	1920	0.001831055
GCF_002820045.1	Viral	1987743	1920	0.001831055
GCF_000908835.1	Viral	2038727	1920	0.001831055
GCF_000886595.1	Viral	642259	1923	0.001833916
GCF_002819805.1	Viral	1987738	1924	0.001834869
GCF_001960015.1	Viral	1923505	1925	0.001835823
GCF_002819685.1	Viral	2050587	1925	0.001835823
GCF_000889655.1	Viral	942033	1928	0.001838684
GCF_002210655.1	Viral	2010284	1928	0.001838684
GCF_001960615.1	Viral	1923504	1929	0.001839638
GCF_001589575.1	Viral	1685780	1932	0.001842499
GCF_001184985.1	Viral	1987744	1935	0.00184536
GCF_001274185.1	Viral	1692248	1936	0.001846313
GCF_003726695.1	Viral	1519388	1937	0.001847267
GCF_000919555.1	Viral	1234878	1938	0.001848221
GCF_001461145.1	Viral	1755781	1938	0.001848221
GCF_002820205.1	Viral	2038726	1944	0.001853943
GCF_002820125.1	Viral	2038722	1945	0.001854897
GCF_002819885.1	Viral	2050927	1945	0.001854897
GCF_001551145.1	Viral	1778558	1946	0.00185585
GCF_000925995.1	Viral	1506568	1948	0.001857758
GCF_000955615.1	Viral	1618260	1950	0.001859665
GCF_001274325.1	Viral	1692243	1950	0.001859665
GCF_001590155.1	Viral	1685744	1951	0.001860619
GCF_001551485.1	Viral	1778559	1953	0.001862526
GCF_001274365.1	Viral	1692261	1956	0.001865387
GCF_001684565.1	Viral	1788443	1956	0.001865387
GCF_002145985.1	Viral	2050928	1959	0.001868248
GCF_002819785.1	Viral	1987736	1960	0.001869202
GCF_002819465.1	Viral	1868218	1964	0.001873016
GCF_002819865.1	Viral	1987741	1964	0.001873016
GCF_002375075.1	Viral	1964372	1966	0.001874924
GCF_000954415.1	Viral	1618253	1971	0.001879692
GCF_001646195.1	Viral	1843769	1976	0.00188446
GCF_000955295.1	Viral	1618255	1979	0.001887321
GCF_001646395.1	Viral	1843770	1988	0.001895905
GCF_003846745.1	Viral	2293300	1991	0.001898766
GCF_000869425.1	Viral	345250	1992	0.001899719
GCF_004132985.1	Viral	2480193	1992	0.001899719
GCF_002819525.1	Viral	2003311	1993	0.001900673
GCF_001274065.1	Viral	1692246	1998	0.001905441
GCF_000919015.1	Viral	1234880	2003	0.00191021
GCF_004131885.1	Viral	2077298	2004	0.001911163
GCF_000883595.1	Viral	575913	2006	0.001913071
GCF_003846685.1	Viral	2293304	2008	0.001914978
GCF_000955535.1	Viral	1618243	2010	0.001916885
GCF_002219925.1	Viral	2016457	2010	0.001916885
GCF_002194385.1	Viral	2006585	2011	0.001917839
GCF_004133105.1	Viral	2152567	2011	0.001917839
GCF_001274385.1	Viral	1692256	2013	0.001919746
GCF_003033015.1	Viral	2169823	2016	0.001922607
GCF_004133605.2	Viral	2517212	2017	0.001923561
GCF_004129115.1	Viral	1592119	2021	0.001927376
GCF_001589535.1	Viral	1685742	2024	0.001930237
GCF_000918915.1	Viral	1234874	2025	0.00193119
GCF_003847025.1	Viral	2293294	2027	0.001933098
GCF_001589555.1	Viral	1685738	2029	0.001935005
GCF_003726775.1	Viral	1519393	2030	0.001935959
GCF_001274085.1	Viral	1692242	2030	0.001935959
GCF_002219525.1	Viral	2017082	2030	0.001935959
GCF_002219745.1	Viral	2016459	2031	0.001936913
GCF_000846785.1	Viral	142661	2033	0.00193882
GCF_000923235.1	Viral	1521391	2036	0.001941681
GCF_000892615.1	Viral	759938	2038	0.001943588
GCF_000869525.1	Viral	400122	2042	0.001947403
GCF_002819845.1	Viral	1987740	2042	0.001947403
GCF_001589915.1	Viral	1685775	2043	0.001948357
GCF_004129075.1	Viral	1592118	2044	0.00194931
GCF_004129195.1	Viral	1592110	2045	0.001950264
GCF_002819585.1	Viral	1959759	2045	0.001950264
GCF_001590195.1	Viral	1685736	2046	0.001951218
GCF_001274485.1	Viral	1692258	2047	0.001952171
GCF_002819825.1	Viral	1987739	2051	0.001955986
GCF_002819545.1	Viral	2003312	2059	0.001963615
GCF_004128915.1	Viral	1592129	2060	0.001964569
GCF_001589475.1	Viral	1685786	2062	0.001966476
GCF_001589835.1	Viral	1685745	2063	0.00196743
GCF_003847125.1	Viral	2734329	2063	0.00196743
GCF_000926295.1	Viral	1959744	2066	0.001970291
GCF_001651125.1	Viral	1844928	2068	0.001972198
GCF_003986365.1	Viral	1380894	2069	0.001973152
GCF_000846025.1	Viral	324685	2076	0.001979828
GCF_000989035.1	Viral	1642515	2087	0.001990318
GCF_000843965.1	Viral	77856	2088	0.001991272
GCF_000955515.1	Viral	1618247	2090	0.001993179
GCF_000916875.1	Viral	1454026	2095	0.001997948
GCF_001589855.1	Viral	1685741	2095	0.001997948
GCF_001866935.1	Viral	1868221	2098	0.002000809
GCF_002219445.1	Viral	2006642	2099	0.002001762
