Assembly_accession	superkingdom	genomic_size	Tools
GCF_000190695.1	Bacteria	2.14509964	Kraken2
GCF_000213535.1	Bacteria	1.908993721	Kraken2
GCF_000160435.1	Bacteria	2.324257851	Kraken2
GCF_000275465.1	Bacteria	3.784853935	Kraken2
GCF_000195675.1	Bacteria	5.155550957	Kraken2
GCF_000195695.1	Bacteria	4.609383583	Kraken2
GCF_000193515.1	Bacteria	3.71920681	Kraken2
GCF_000070465.1	Bacteria	3.603897095	Kraken2
GCF_000701585.1	Bacteria	4.053945541	Kraken2
GCF_000016725.1	Bacteria	3.827352524	Kraken2
GCF_000687875.1	Bacteria	3.291825294	Kraken2
GCF_900156265.1	Bacteria	3.846747398	Kraken2
GCF_000017405.1	Bacteria	5.027133942	Kraken2
GCF_000153225.1	Bacteria	2.668556213	Kraken2
GCF_000019845.1	Bacteria	4.266841888	Kraken2
GCF_000007705.1	Bacteria	4.587684631	Kraken2
GCF_004346505.1	Bacteria	4.793693542	Kraken2
GCF_000158615.1	Bacteria	2.097515106	Kraken2
GCF_000007105.1	Bacteria	1.985678673	Kraken2
GCF_000018045.1	Bacteria	4.572648048	Kraken2
GCF_000208765.1	Bacteria	4.774894714	Kraken2
GCF_000215745.1	Bacteria	5.098752022	Kraken2
GCF_000220605.1	Bacteria	4.753875732	Kraken2
GCF_000025565.1	Bacteria	5.406435966	Kraken2
GCF_000027205.1	Bacteria	3.771393776	Kraken2
GCF_000025405.2	Bacteria	4.541609764	Kraken2
GCF_000023605.1	Bacteria	4.695682526	Kraken2
GCF_000406065.1	Bacteria	4.459057808	Kraken2
GCF_000005845.2	Bacteria	4.4820261	Kraken2
GCF_000262305.1	Bacteria	4.015714645	Kraken2
GCF_000026225.1	Bacteria	4.484236717	Kraken2
GCF_000248015.1	Bacteria	4.344249725	Kraken2
GCF_000759795.1	Bacteria	4.228713989	Kraken2
GCF_000239255.1	Bacteria	4.721805573	Kraken2
GCF_000247855.1	Bacteria	5.7884655	Kraken2
GCF_000009885.1	Bacteria	5.284563065	Kraken2
GCF_000648315.1	Bacteria	5.462216377	Kraken2
GCF_000964285.1	Bacteria	5.521596909	Kraken2
GCF_001266615.1	Bacteria	4.58489418	Kraken2
GCF_000286435.2	Bacteria	3.668883324	Kraken2
GCF_000069965.1	Bacteria	3.958960533	Kraken2
GCF_000754995.1	Bacteria	3.837047577	Kraken2
GCF_000158055.1	Bacteria	4.602732658	Kraken2
GCF_000154865.1	Bacteria	4.456222534	Kraken2
GCF_000422085.1	Bacteria	5.101099014	Kraken2
GCF_000264275.1	Bacteria	4.893943787	Kraken2
GCF_000163595.1	Bacteria	5.088845253	Kraken2
GCF_000012025.1	Bacteria	4.486775398	Kraken2
GCF_000012005.1	Bacteria	4.40420723	Kraken2
GCF_000006925.2	Bacteria	4.662828445	Kraken2
GCF_000467205.1	Bacteria	4.743307114	Kraken2
GCF_000252955.1	Bacteria	4.430220604	Kraken2
GCF_000009345.1	Bacteria	4.522665024	Kraken2
GCF_000168035.1	Bacteria	4.56024456	Kraken2
GCF_000006645.1	Bacteria	4.540100098	Kraken2
GCF_000016945.1	Bacteria	4.765571594	Kraken2
GCF_000167975.1	Bacteria	4.218224525	Kraken2
GCF_000020865.1	Bacteria	3.673409462	Kraken2
GCF_000429565.1	Bacteria	3.575890541	Kraken2
GCF_000014805.1	Bacteria	4.581302643	Kraken2
GCF_000196395.1	Bacteria	4.86764431	Kraken2
GCF_000820145.1	Bacteria	4.526400566	Kraken2
GCF_000208825.1	Bacteria	4.296940804	Kraken2
GCF_000819865.1	Bacteria	4.3857584	Kraken2
GCF_000708125.1	Bacteria	4.327396393	Kraken2
GCF_000287215.2	Bacteria	4.623797417	Kraken2
GCF_000820105.1	Bacteria	3.993662834	Kraken2
GCF_000204115.1	Bacteria	4.395231247	Kraken2
GCF_000819685.1	Bacteria	4.514309883	Kraken2
GCF_000613045.2	Bacteria	4.894200325	Kraken2
GCF_000153265.1	Bacteria	5.005450249	Kraken2
GCF_000153505.1	Bacteria	5.078207016	Kraken2
GCF_000006745.1	Bacteria	3.894866943	Kraken2
GCF_000011805.1	Bacteria	4.126878738	Kraken2
GCF_000182685.1	Bacteria	5.736384392	Kraken2
GCF_000182345.1	Bacteria	4.879167557	Kraken2
GCF_000467125.1	Bacteria	4.58620739	Kraken2
GCF_000009745.1	Bacteria	5.079327583	Kraken2
GCF_000176515.1	Bacteria	3.866230011	Kraken2
GCF_000175975.1	Bacteria	4.215749741	Kraken2
GCF_900167345.1	Bacteria	3.544246674	Kraken2
GCF_000417625.1	Bacteria	5.163511276	Kraken2
GCF_000017705.1	Bacteria	5.850165367	Kraken2
GCF_000740015.1	Bacteria	4.563898087	Kraken2
GCF_000390165.1	Bacteria	5.942433357	Kraken2
GCF_000286935.2	Bacteria	4.311106682	Kraken2
GCF_000181535.1	Bacteria	5.518389702	Kraken2
GCF_000417905.1	Bacteria	4.959774017	Kraken2
GCF_001274805.1	Bacteria	3.962743759	Kraken2
GCF_000392595.1	Bacteria	3.970118523	Kraken2
GCF_000163615.3	Bacteria	2.229594231	Kraken2
GCF_000015885.1	Bacteria	2.196303368	Kraken2
GCF_000307145.1	Bacteria	2.399502754	Kraken2
GCF_000374285.1	Bacteria	2.535751343	Kraken2
GCF_000801145.1	Bacteria	2.34795475	Kraken2
GCF_900444935.1	Bacteria	2.264632225	Kraken2
GCF_002263215.1	Bacteria	2.28609848	Kraken2
GCF_000188255.1	Bacteria	2.275759697	Kraken2
GCF_000222025.1	Bacteria	1.822022438	Kraken2
GCF_000012185.1	Bacteria	1.848682404	Kraken2
GCF_000221945.2	Bacteria	2.376123428	Kraken2
GCF_000191405.1	Bacteria	2.052558899	Kraken2
GCF_000007945.1	Bacteria	1.640562057	Kraken2
GCF_000011785.1	Bacteria	1.94374752	Kraken2
GCF_000022985.1	Bacteria	2.233517647	Kraken2
GCF_002015075.1	Bacteria	2.226885796	Kraken2
GCF_002015115.1	Bacteria	1.979844093	Kraken2
GCF_000262265.1	Bacteria	1.966395378	Kraken2
GCF_000260675.1	Bacteria	1.959218025	Kraken2
GCF_000021885.1	Bacteria	2.191142082	Kraken2
GCF_000185305.1	Bacteria	1.943219185	Kraken2
GCF_000006825.1	Bacteria	2.179894447	Kraken2
GCF_900637275.1	Bacteria	2.179887772	Kraken2
GCF_000209675.1	Bacteria	2.601578712	Kraken2
GCF_900454535.1	Bacteria	2.129652023	Kraken2
GCF_000262245.1	Bacteria	2.179788589	Kraken2
GCF_900454865.1	Bacteria	2.265424728	Kraken2
GCF_000163475.1	Bacteria	2.186571121	Kraken2
GCF_002921135.1	Bacteria	2.271378517	Kraken2
GCF_003096995.1	Bacteria	1.9239645	Kraken2
GCF_900454475.1	Bacteria	2.523122787	Kraken2
GCF_000379905.1	Bacteria	2.181809425	Kraken2
GCF_900176075.1	Bacteria	2.823809624	Kraken2
GCF_900635775.1	Bacteria	2.15381813	Kraken2
GCF_000024505.1	Bacteria	1.165345192	Kraken2
GCF_000011945.1	Bacteria	1.156544685	Kraken2
GCF_000015445.1	Bacteria	1.395363808	Kraken2
GCF_000007765.2	Bacteria	1.962991714	Kraken2
GCF_000026005.1	Bacteria	1.464253426	Kraken2
GCF_000007025.1	Bacteria	1.225164413	Kraken2
GCF_000022785.1	Bacteria	1.073422432	Kraken2
GCF_000017445.4	Bacteria	1.224628448	Kraken2
GCF_000010205.1	Bacteria	1.939933777	Kraken2
GCF_000008045.1	Bacteria	1.07331562	Kraken2
GCF_000018205.1	Bacteria	1.188764572	Kraken2
GCF_000273745.1	Bacteria	1.280702591	Kraken2
GCF_000014345.1	Bacteria	1.119932175	Kraken2
GCF_000046685.1	Bacteria	1.527038574	Kraken2
GCF_000278175.1	Bacteria	1.893186569	Kraken2
GCF_000008725.1	Bacteria	1.006721497	Kraken2
GCF_000009925.1	Bacteria	5.128396034	Kraken2
GCF_000011065.1	Bacteria	6.077032089	Kraken2
GCF_000154205.1	Bacteria	4.559671402	Kraken2
GCF_000012825.1	Bacteria	4.985609055	Kraken2
GCF_000012845.1	Bacteria	4.645909309	Kraken2
GCF_000175875.1	Bacteria	2.180878639	Kraken2
GCF_000024405.1	Bacteria	4.332505226	Kraken2
GCF_000374605.1	Bacteria	1.684351921	Kraken2
GCF_000420965.1	Bacteria	4.325454712	Kraken2
GCF_000024665.1	Bacteria	3.710505486	Kraken2
GCF_000007585.1	Bacteria	2.262906075	Kraken2
GCF_000025925.1	Bacteria	3.495081902	Kraken2
GCF_000378085.1	Bacteria	3.392199516	Kraken2
GCF_000196135.1	Bacteria	2.037808418	Kraken2
GCF_000158475.2	Bacteria	2.402944565	Kraken2
GCF_000158235.1	Bacteria	1.866954803	Kraken2
GCF_000158195.2	Bacteria	2.579861641	Kraken2
GCF_000007325.1	Bacteria	2.099776268	Kraken2
GCF_000622245.1	Bacteria	2.033387184	Kraken2
GCF_000154385.1	Bacteria	3.022006989	Kraken2
GCF_000381725.1	Bacteria	1.879582405	Kraken2
GCF_000159915.2	Bacteria	3.187233925	Kraken2
GCF_900450765.1	Bacteria	1.946342468	Kraken2
GCF_000158295.2	Bacteria	1.894919395	Kraken2
GCF_000158215.3	Bacteria	2.459280968	Kraken2
GCF_000158315.2	Bacteria	3.368229866	Kraken2
GCF_000014725.1	Bacteria	2.835259438	Kraken2
GCF_900115655.1	Bacteria	2.728416443	Kraken2
GCF_000015345.1	Bacteria	1.341608047	Kraken2
GCF_000212675.2	Bacteria	4.056082726	Kraken2
GCF_000022125.1	Bacteria	2.77466774	Kraken2
GCF_000179555.1	Bacteria	4.51934433	Kraken2
GCF_000429285.1	Bacteria	3.668878555	Kraken2
GCF_000023445.1	Bacteria	4.142317772	Kraken2
GCF_000015485.1	Bacteria	3.535549164	Kraken2
GCF_000421605.1	Bacteria	1.731340408	Kraken2
GCF_000420485.1	Bacteria	3.576446533	Kraken2
GCF_000167355.1	Bacteria	3.701068878	Kraken2
GCF_000422185.1	Bacteria	4.264559746	Kraken2
GCF_000023225.1	Bacteria	3.807074547	Kraken2
GCF_000156375.1	Bacteria	2.772418976	Kraken2
GCF_000025305.1	Bacteria	2.249678612	Kraken2
GCF_000283495.2	Bacteria	2.389636993	Kraken2
GCF_000013885.1	Bacteria	4.839363098	Kraken2
GCF_000012725.1	Bacteria	3.285104752	Kraken2
GCF_000009145.1	Bacteria	2.715405464	Kraken2
GCF_000014765.1	Bacteria	2.686299324	Kraken2
GCF_900110145.1	Bacteria	3.382023811	Kraken2
GCF_000020825.1	Bacteria	2.785847664	Kraken2
GCF_000092925.1	Bacteria	4.601136208	Kraken2
GCF_000092605.1	Bacteria	3.343175888	Kraken2
GCF_000024765.1	Bacteria	2.494083405	Kraken2
GCF_000423825.1	Bacteria	2.861555099	Kraken2
GCF_000227215.1	Bacteria	2.932677269	Kraken2
GCF_000373385.1	Bacteria	3.093112946	Kraken2
GCF_000711195.1	Bacteria	2.035811424	Kraken2
GCF_000010785.1	Bacteria	1.683228493	Kraken2
GCF_000012565.1	Bacteria	1.26984024	Kraken2
GCF_000013145.1	Bacteria	1.135843277	Kraken2
GCF_000013125.1	Bacteria	1.4207201	Kraken2
GCF_000022525.1	Bacteria	0.849765778	Kraken2
GCF_000013165.1	Bacteria	0.829518318	Kraken2
GCF_001275365.1	Bacteria	1.464556694	Kraken2
GCF_000242415.2	Bacteria	1.133816719	Kraken2
GCF_000196175.1	Bacteria	3.65286541	Kraken2
GCF_002872415.1	Bacteria	3.679294586	Kraken2
GCF_000143225.1	Bacteria	5.324242592	Kraken2
GCF_001995095.2	Bacteria	3.685931206	Kraken2
GCF_000284095.1	Bacteria	3.507912636	Kraken2
GCF_000190595.1	Bacteria	3.636426926	Kraken2
GCF_000517085.1	Bacteria	5.776737213	Kraken2
GCF_006539745.1	Bacteria	4.051376343	Kraken2
GCF_000023825.1	Bacteria	4.989658356	Kraken2
GCF_000014145.1	Bacteria	4.280755997	Kraken2
GCF_000016645.1	Bacteria	5.887169838	Kraken2
GCF_000430645.1	Bacteria	6.033283234	Kraken2
GCF_004104035.1	Bacteria	4.589751244	Kraken2
GCF_000259075.1	Bacteria	4.817818642	Kraken2
GCF_003254275.1	Bacteria	4.240440369	Kraken2
GCF_000737695.1	Bacteria	5.684839249	Kraken2
GCF_000242635.2	Bacteria	5.023150444	Kraken2
GCF_000240075.2	Bacteria	3.053692818	Kraken2
GCF_000430505.1	Bacteria	3.893572807	Kraken2
GCF_900112255.1	Bacteria	4.107438087	Kraken2
GCF_000265505.1	Bacteria	4.750146866	Kraken2
GCF_000422585.1	Bacteria	4.114639282	Kraken2
GCF_900113045.1	Bacteria	5.326014519	Kraken2
GCF_900119105.1	Bacteria	7.967648506	Kraken2
GCF_000183425.1	Bacteria	4.361232758	Kraken2
GCF_000250635.1	Bacteria	4.248922348	Kraken2
GCF_007990895.1	Bacteria	4.449864388	Kraken2
GCF_000189415.1	Bacteria	2.194808006	Kraken2
GCF_000301075.1	Bacteria	2.253134727	Kraken2
GCF_000174755.1	Bacteria	2.579064369	Kraken2
GCF_000023285.1	Bacteria	2.523088455	Kraken2
GCF_000173675.1	Bacteria	2.901618004	Kraken2
GCF_000245015.1	Bacteria	4.118642807	Kraken2
GCF_003386095.1	Bacteria	5.767356873	Kraken2
GCF_000169175.1	Bacteria	9.447218895	Kraken2
GCF_900177665.1	Bacteria	4.579987526	Kraken2
GCF_000336555.1	Bacteria	4.248270988	Kraken2
GCF_000314735.2	Bacteria	4.059555054	Kraken2
GCF_000715015.1	Bacteria	3.479510307	Kraken2
GCF_001583505.1	Bacteria	3.719182014	Kraken2
GCF_000025485.1	Bacteria	3.543053627	Kraken2
GCF_002356555.2	Bacteria	2.737121582	Kraken2
GCF_000015585.1	Bacteria	2.586357117	Kraken2
GCF_900106925.1	Bacteria	5.207810402	Kraken2
GCF_000021865.1	Bacteria	3.73884201	Kraken2
GCF_000012905.2	Bacteria	4.445100784	Kraken2
GCF_000166055.1	Bacteria	3.876415253	Kraken2
GCF_002937115.1	Bacteria	7.025419235	Kraken2
GCF_002937135.1	Bacteria	4.583039284	Kraken2
GCF_003034965.1	Bacteria	3.470742226	Kraken2
GCF_000013365.1	Bacteria	5.148281097	Kraken2
GCF_001402875.1	Bacteria	3.596757889	Kraken2
GCF_003258905.1	Bacteria	3.838585854	Kraken2
GCF_000442515.1	Bacteria	3.655254364	Kraken2
GCF_000294655.1	Bacteria	3.679714203	Kraken2
GCF_000284415.1	Bacteria	3.742995262	Kraken2
GCF_000013085.1	Bacteria	4.255099297	Kraken2
GCF_004341375.1	Bacteria	3.24540329	Kraken2
GCF_000515255.1	Bacteria	4.032927513	Kraken2
GCF_000020465.1	Bacteria	2.668169975	Kraken2
GCF_000016085.1	Bacteria	1.899250984	Kraken2
GCF_000015125.1	Bacteria	3.026144028	Kraken2
GCF_000006985.1	Bacteria	2.080866814	Kraken2
GCF_006265245.1	Bacteria	2.235456467	Kraken2
GCF_000012485.1	Bacteria	2.283535957	Kraken2
GCF_000020625.1	Bacteria	2.491083145	Kraken2
GCF_000018865.1	Bacteria	5.077692986	Kraken2
GCF_001663175.1	Bacteria	2.98411274	Kraken2
GCF_003864295.1	Bacteria	4.340065002	Kraken2
GCF_000317265.1	Bacteria	7.404137611	Kraken2
GCF_000010625.1	Bacteria	5.641838074	Kraken2
GCF_000478825.2	Bacteria	3.610526085	Kraken2
GCF_000009725.1	Bacteria	3.811572075	Kraken2
GCF_000464665.1	Bacteria	5.297423363	Kraken2
GCF_000196515.1	Bacteria	5.297577858	Kraken2
GCF_000317695.1	Bacteria	6.820786476	Kraken2
GCF_000521175.1	Bacteria	5.659338951	Kraken2
GCF_003113895.1	Bacteria	7.917415619	Kraken2
GCF_000353285.1	Bacteria	7.013037682	Kraken2
GCF_000300115.1	Bacteria	9.636395454	Kraken2
GCF_002368275.1	Bacteria	9.779393196	Kraken2
GCF_000014265.1	Bacteria	7.483527184	Kraken2
GCF_000007925.1	Bacteria	1.6909132	Kraken2
GCF_000332315.1	Bacteria	5.453734398	Kraken2
GCF_000012805.1	Bacteria	3.401064873	Kraken2
GCF_000196355.1	Bacteria	3.12332058	Kraken2
GCF_900109785.1	Bacteria	2.993966103	Kraken2
GCF_000297215.2	Bacteria	2.958339691	Kraken2
GCF_000166715.1	Bacteria	1.894349098	Kraken2
GCF_000014445.1	Bacteria	2.004529953	Kraken2
GCF_000179875.1	Bacteria	1.67003727	Kraken2
GCF_000014385.1	Bacteria	1.719308853	Kraken2
GCF_000160575.1	Bacteria	1.913280487	Kraken2
GCF_000165675.1	Bacteria	1.585201263	Kraken2
GCF_000300135.1	Bacteria	1.71277523	Kraken2
GCF_000146325.1	Bacteria	1.87633419	Kraken2
GCF_000014505.1	Bacteria	1.769406319	Kraken2
GCF_900176115.1	Bacteria	2.157258987	Kraken2
